generator,n_samples,avg_quality_score,std_quality_score,min_quality_score,max_quality_score,p25_quality_score,p50_quality_score,p75_quality_score,p90_quality_score
template_v1,400,0.5856223424757696,0.053079098933769366,0.55,0.8500000000000001,0.55,0.55,0.60625,0.6625
template_v3,400,0.5781353284003268,0.04322733905334742,0.55,0.8500000000000001,0.55,0.55,0.6,0.64
template_v2,400,0.5730099619793303,0.038773350652413885,0.55,0.75,0.55,0.55,0.5869260204081632,0.6318181818181818
template_v4,400,0.11950065758918794,0.13685267335115822,0.0,0.44999999999999996,0.0,0.04736842105263158,0.3,0.3
