week,prev_week,centroid_shift,js_divergence,shift_z,js_z,is_drift_alert
2025-09-29/2025-10-05,2025-09-22/2025-09-28,0.3640320897102356,0.04315231036776714,0.4317771597870201,-0.40511791034441286,False
2025-10-06/2025-10-12,2025-09-29/2025-10-05,0.3158692717552185,0.011042586283105345,0.01203154766423795,-0.9545201733299132,False
2025-10-13/2025-10-19,2025-10-06/2025-10-12,0.27782848477363586,0.04134219010446365,-0.3194991661766753,-0.4360893433692733,False
2025-10-20/2025-10-26,2025-10-13/2025-10-19,0.2951118052005768,0.05128380353790672,-0.16887264098256974,-0.265986825401212,False
2025-10-27/2025-11-02,2025-10-20/2025-10-26,0.33036482334136963,0.10458531263579596,0.1383622822834019,0.6460101024363266,False
2025-11-03/2025-11-09,2025-10-27/2025-11-02,0.36944228410720825,0.1326719837231537,0.4789277513695455,1.1265773167306032,False
2025-11-10/2025-11-16,2025-11-03/2025-11-09,0.3206343948841095,0.009847907835174464,0.05356025402948547,-0.9749613032848966,False
2025-11-17/2025-11-23,2025-11-10/2025-11-16,0.24373801052570343,0.021025434505443377,-0.6166023588121001,-0.7837121218520376,False
2025-11-24/2025-11-30,2025-11-17/2025-11-23,0.3047979474067688,0.10409468018270998,-0.08445657352481292,0.6376153065387087,False
2025-12-01/2025-12-07,2025-11-24/2025-11-30,0.2970923185348511,0.15131608237331268,-0.1516121936684462,1.4455806804068172,False
2025-12-08/2025-12-14,2025-12-01/2025-12-07,0.41995540261268616,0.2478765320253558,0.9191565574812484,3.097744660821435,True
2025-12-15/2025-12-21,2025-12-08/2025-12-14,0.33213117718696594,0.004271533799175026,0.1537563000677791,-1.0703739112087105,False
2025-12-22/2025-12-28,2025-12-15/2025-12-21,0.33038800954818726,0.13935835363681137,0.13856435327896865,1.2409821229517959,False
2025-12-29/2026-01-04,2025-12-22/2025-12-28,0.5623407959938049,0.04200006210315527,2.160064931196435,-0.4248330534091667,True
2026-01-05/2026-01-11,2025-12-29/2026-01-04,0.7034140229225159,0.15654848122455117,3.3895375930044125,1.5351078206006612,True
2026-01-12/2026-01-18,2026-01-05/2026-01-11,0.33449608087539673,0.08896118329596239,0.17436676242151689,0.3786788729978559,False
2026-01-19/2026-01-25,2026-01-12/2026-01-18,0.2748110890388489,0.04494697872723544,-0.3457961868555266,-0.3744108617444111,False
2026-01-26/2026-02-01,2026-01-19/2026-01-25,0.27500104904174805,0.014469439052189725,-0.34414065918747716,-0.8958862012257297,False
2026-02-02/2026-02-08,2026-01-26/2026-02-01,0.2742285430431366,0.009191367587526755,-0.3508731556863019,-0.9861948067820822,False
2026-02-09/2026-02-15,2026-02-02/2026-02-08,0.2882690131664276,0.03941545346844662,-0.22850851888500967,-0.46905610026864125,False
2026-02-16/2026-02-22,2026-02-09/2026-02-15,0.287290096282959,0.07254242462505862,-0.2370399147608206,0.09775141484145715,False
2026-02-23/2026-03-01,2026-02-16/2026-02-22,0.2842961549758911,0.08452435163904819,-0.26313252686189426,0.3027640085048667,False
2026-03-02/2026-03-08,2026-02-23/2026-03-01,0.31489816308021545,0.05157335651466094,0.0035682014039006543,-0.26103252992786824,False
2026-03-09/2026-03-15,2026-03-02/2026-03-08,0.20594431459903717,0.061497912022334705,-0.9459796399740366,-0.09122187566423454,False
2026-03-16/2026-03-22,2026-03-09/2026-03-15,0.127044677734375,0.012293998599344902,-1.6336008751549609,-0.933108318258933,False
2026-03-23/2026-03-29,2026-03-16/2026-03-22,0.0956430658698082,0.021232921415698405,-1.9072702606557232,-0.7801619892587639,False
2026-03-30/2026-04-05,2026-03-23/2026-03-29,0.26213282346725464,0.0433260627006952,-0.45628902280159406,-0.4021449815002412,False
